Unnamed: 0,Job No.,Job Type,Owner,Delivery To,Delivery Address,Ref No.,Truck No.,Dispatched Date,ETD,External System,Delivery Note No.,BC No.,Reff. No.,Cycle,Time,Customer PO No.,Section Code,Date Created,Status
,LCO2507-0292,By Manual,PT. TORICA INDONESIA,SUMI INDO WIRING_PT. SUMI INDO WIRING SYSTEMS,SUMI INDO WIRING,SIWS140725,,,2025-07-14,,SIWS140725,,SIWS140725,,-,,-,2025-07-11 13:59,Pending Pick
,LCO2507-0472,By Manual,PT. TORICA INDONESIA,PT. AUTOCONN SOLUTIONS,PT. AUTOCONN SOLUTIONS,ACS-160725,,,2025-07-16,,ACS-160725,-,ACS-160725,-,,ACS-160725,-,2025-07-15 14:45,Packed
,LCO2507-0494,By Manual,PT. TORICA INDONESIA,SUMI INDO WIRING_PT. SUMI INDO WIRING SYSTEMS,SUMI INDO WIRING,SIWS160725,,,2025-07-16,,SIWS160725,-,SIWS160725,-,,SIWS160725,-,2025-07-15 17:20,Packed
,LCO2507-0711,By Manual,PT. TORICA INDONESIA,TLID-HANKEN-01_PT HANKEN INDONESIA,HANKEN INDONESIA,HKI-180725,,,2025-07-18,,HKI-180725,,HKI-180725,,,,-,2025-07-18 09:36,Packed
,LCO2507-0927,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT. SUZUKI INDOMOBIL MOTOR,PT. SUZUKI INDOMOBIL MOTOR,84000803+150,,,2025-07-23,WEST+,0082165077,4580,CANCEL,-,10:30:00 AM,84000803+150,-,2025-07-22 13:53,Pending Allocation
,LCO2507-0928,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT. SUZUKI INDOMOBIL MOTOR,PT. SUZUKI INDOMOBIL MOTOR,84000803+151,,,2025-07-23,WEST+,0082165078,420,CANCEL,,,,-,2025-07-22 13:53,Pending Allocation
,LCO2507-1088,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1308587-1,,,2025-07-24,,1308587-1,600,SUGITY TGL 24/07/25 (PICK UP SMI) ADD,-,11:00:00 AM,1308587-1,-,2025-07-24 10:40,Packed
,LCO2507-1097,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT KAWASHIMA ENGINEERING PLASTIC INDONESIA,PT KAWASHIMA ENGINEERING PLASTIC INDONESIA,KPI-PO-2506-0097,,,2025-07-25,WEST+,CANCEL,1000,CANCEL BY ROHMAH,-,,CANCEL,-,2025-07-24 11:39,Pending Allocation
,LCO2507-1177,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT TD AUTOMOTIVE COMPRESSOR INDONESIA,PT TD AUTOMOTIVE COMPRESSOR INDONESIA,522A72,,,2025-07-28,WEST+,0082167160,312,TACI TGL 28/07/25 (KIRIM PAGI),-,,522A72,-,2025-07-25 09:14,Packed
,LCO2507-1178,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309200-1,,,2025-07-28,,1309200-1,1550,SUGITY SEQ 1 TGL 28/0725 (FACT 1),FACT 1,9:00:00 AM,1309200-1,-,2025-07-25 09:49,Packed
,LCO2507-1179,By Manual,PT. ASTRA DAIHATSU MOTOR,PT. ASTRA DAIHATSU MOTOR,ADM SUNTER,TMMIN SUNTER Cycle 5 TGL 25 Juli 2025,,,2025-07-25,,250725-5,5,5,5,3:00:00 PM,TTLCADM250725-5,-,2025-07-25 09:55,Packed
,LCO2507-1180,By DI,PT. TOYOTA TSUSHO INDONESIA - PLASTIC-2 DIV,PT CIPTAJAYA KREASINDO UTAMA,PT CIPTAJAYA KREASINDO UTAMA,2250349/CKU/07/2025,,,2025-07-28,WEST+,0082167181,2000,CIPTAJAYA TGL 28/07/25,-,,2250349/CKU/07/2025,-,2025-07-25 10:16,Packed
,LCO2507-1181,By Manual,PT. TOYOTA TSUSHO INDONESIA - PLASTIC DIV,PT SUGITY CREATIVES,PT SUGITY CREATIVES,1309203-1,,,2025-07-28,,1309203-1,1500,SUGITY SEQ 4 TGL 28/07/25 (FACT 1),FACT 1,11:50:00 PM,1309203-1,-,2025-07-25 10:23,Pending Pick
,LCO2507-1182,By Manual,PT. TORICA INDONESIA,SUMITOMO SHI_PT. SUMITOMO SHI CONSTRUCTION MACHINERY INDONESIA,SUMITOMO SHI,SCMI-280725-A,,,2025-07-28,,SCMI-280725-A,,SCMI-280725-A,,,,-,2025-07-25 10:59,Packed
